,logFC,logCPM,PValue,FDR,up_down
FILIP1L,-3.98617689061272,4.36146356014607,3.85378624332984e-19,2.5926778345984e-17,Down
NAP1L3,-4.3584805710958,0.109545098353945,4.04237524569124e-19,2.70944333382204e-17,Down
SGO1,5.72376005887258,3.5296063668031,4.36421066358219e-19,2.914322898681e-17,Up
HIPK4,-3.71485222298271,-2.50394945300097,4.60227822900748e-19,3.06195854129169e-17,Down
GPR22,-4.60768539986533,-2.66751921480161,4.8082651453395e-19,3.18724340332615e-17,Down
MKI67,5.58530616626851,7.74535578527792,5.06741175686159e-19,3.34671919326793e-17,Up
NOVA1,-4.78392133330953,0.11285843032775,6.20441955685001e-19,4.08268921934328e-17,Down
CDCA2,5.89924555517331,4.31455436432564,6.24011801356799e-19,4.09124828307748e-17,Up
INPP5A,-2.15367089117539,4.34646602506994,7.56230903616008e-19,4.94016057688283e-17,Down
FOXM1,5.97377561290963,6.36702528972568,7.76322881082157e-19,5.05310525123151e-17,Up
ARHGAP11A,4.80444606138649,5.51759688737942,8.19885093167394e-19,5.3174561977727e-17,Up
PTH1R,-4.27107682353722,0.201194934602829,8.64704938528611e-19,5.57757996668751e-17,Down
CDK1,4.58407451657988,6.6989001120452,8.66179917178316e-19,5.57757996668751e-17,Up
GUCY1A2,-3.96283618739455,2.35811922184363,9.19023381949334e-19,5.89679415535463e-17,Down
TTK,5.17828214524273,5.00726371795865,1.10877538605533e-18,7.08908518105586e-17,Up
LONRF2,-5.67043985140007,2.15452764535007,1.20770473625717e-18,7.69431674724974e-17,Down
DEPDC1,5.67883978052993,4.7804836786186,1.25974741770085e-18,7.99762181026277e-17,Up
NRIP2,-3.02583820628523,1.52118764586659,1.2837737773219e-18,8.12155831758379e-17,Down
WT1,-5.61389822366001,2.04270844176918,1.35377251821844e-18,8.53444702918827e-17,Down
STIL,4.71915399838097,5.15020387211955,1.45738069752529e-18,9.15560068863448e-17,Up
PMP22,-3.51663147962927,4.93928533784471,1.48175349501424e-18,9.27639427607874e-17,Down
